Audit_Hash_ID,Enterprise_Client,Infrastructure_Layer,Threat_Classification,Traffic_Volume_GB,Neural_Threat_Index,Breach_Compliance_Flag
SEC_MD5_000027,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,15.703,65.35,0
SEC_MD5_000028,Meta Platforms,API Gateway Endpoint,Token Hijacking,26.519,88.22,1
SEC_MD5_000029,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,15.566,51.27,0
SEC_MD5_000030,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,11.267,55.57,0
SEC_MD5_000031,Meta Platforms,API Gateway Endpoint,Token Hijacking,12.005,39.61,0
SEC_MD5_000032,Alphabet Inc.,IAM Authentication Layer,Vector Injection,7.804,47.76,0
SEC_MD5_000033,Alphabet Inc.,Distributed Core Database,Vector Injection,37.852,98.72,1
SEC_MD5_000034,Apple Inc.,Distributed Core Database,Token Hijacking,25.006,79.81,1
SEC_MD5_000035,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,4.941,29.97,0
SEC_MD5_000036,Apple Inc.,Distributed Core Database,Vector Injection,13.483,50.9,0
SEC_MD5_000037,Meta Platforms,Distributed Core Database,Vector Injection,6.392,54.7,0
SEC_MD5_000038,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,7.68,41.36,0
SEC_MD5_000039,Apple Inc.,Edge Computing Node,Zero-Day Vulnerability,12.561,65.06,0
SEC_MD5_000040,Microsoft Corp.,Distributed Core Database,Token Hijacking,13.789,54.15,0
SEC_MD5_000041,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,10.98,47.05,0
SEC_MD5_000042,Meta Platforms,IAM Authentication Layer,Exfiltration Attempt,18.143,85.21,1
SEC_MD5_000043,Apple Inc.,Distributed Core Database,Token Hijacking,16.233,60.89,0
SEC_MD5_000044,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,18.807,67.72,0
SEC_MD5_000045,Alphabet Inc.,Edge Computing Node,Vector Injection,12.241,72.12,0
SEC_MD5_000046,Amazon Web Services,IAM Authentication Layer,Token Hijacking,10.851,42.73,0
SEC_MD5_000047,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,16.003,63.78,0
SEC_MD5_000048,Meta Platforms,IAM Authentication Layer,Vector Injection,42.896,100.0,1
SEC_MD5_000049,Amazon Web Services,Edge Computing Node,Vector Injection,29.972,89.61,1
SEC_MD5_000050,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,8.42,61.18,0
SEC_MD5_000051,Amazon Web Services,Distributed Core Database,Token Hijacking,28.547,78.81,1
SEC_MD5_000052,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,13.901,45.47,0
SEC_MD5_000053,Microsoft Corp.,Edge Computing Node,Vector Injection,4.242,53.5,0
SEC_MD5_000054,Amazon Web Services,Edge Computing Node,Zero-Day Vulnerability,15.593,62.04,0
SEC_MD5_000055,Microsoft Corp.,Distributed Core Database,Zero-Day Vulnerability,17.009,51.47,0
SEC_MD5_000056,Amazon Web Services,IAM Authentication Layer,Zero-Day Vulnerability,6.192,57.78,0
SEC_MD5_000057,Microsoft Corp.,Distributed Core Database,Zero-Day Vulnerability,17.527,45.48,0
SEC_MD5_000058,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,84.0,100.0,1
SEC_MD5_000059,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,52.032,100.0,1
SEC_MD5_000060,Alphabet Inc.,API Gateway Endpoint,Vector Injection,13.596,65.74,0
SEC_MD5_000061,Apple Inc.,Distributed Core Database,Exfiltration Attempt,12.072,53.14,0
SEC_MD5_000062,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,28.339,90.98,1
SEC_MD5_000063,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,29.368,92.85,1
SEC_MD5_000064,Amazon Web Services,API Gateway Endpoint,Vector Injection,8.772,55.11,0
SEC_MD5_000065,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,24.984,44.87,0
SEC_MD5_000066,Alphabet Inc.,Distributed Core Database,Vector Injection,22.376,68.1,0
SEC_MD5_000067,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,6.253,63.14,0
SEC_MD5_000068,Microsoft Corp.,Edge Computing Node,Vector Injection,13.832,63.49,0
SEC_MD5_000069,Amazon Web Services,API Gateway Endpoint,Token Hijacking,20.754,79.36,1
SEC_MD5_000070,Meta Platforms,Edge Computing Node,Exfiltration Attempt,23.842,89.1,1
SEC_MD5_000071,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,26.353,66.86,0
SEC_MD5_000072,Amazon Web Services,Edge Computing Node,Zero-Day Vulnerability,18.997,79.7,1
SEC_MD5_000073,Alphabet Inc.,API Gateway Endpoint,Exfiltration Attempt,10.14,50.9,0
SEC_MD5_000074,Amazon Web Services,IAM Authentication Layer,Zero-Day Vulnerability,20.287,48.13,0
SEC_MD5_000075,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,9.785,58.71,0
SEC_MD5_000076,Amazon Web Services,Distributed Core Database,Token Hijacking,31.805,74.42,1
SEC_MD5_000077,Amazon Web Services,Edge Computing Node,Zero-Day Vulnerability,17.06,93.24,1
SEC_MD5_000078,Meta Platforms,Distributed Core Database,Vector Injection,12.589,43.11,0
SEC_MD5_000079,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,8.832,61.15,0
SEC_MD5_000080,Meta Platforms,API Gateway Endpoint,Vector Injection,6.451,24.1,0
SEC_MD5_000081,Amazon Web Services,Distributed Core Database,Token Hijacking,48.786,100.0,1
SEC_MD5_000082,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,72.035,100.0,1
SEC_MD5_000083,Amazon Web Services,IAM Authentication Layer,Zero-Day Vulnerability,21.997,84.02,1
SEC_MD5_000084,Apple Inc.,Edge Computing Node,Zero-Day Vulnerability,15.846,68.77,0
SEC_MD5_000085,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,7.282,33.34,0
SEC_MD5_000086,Alphabet Inc.,Distributed Core Database,Vector Injection,6.351,42.39,0
SEC_MD5_000087,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,17.588,47.49,0
SEC_MD5_000088,Microsoft Corp.,IAM Authentication Layer,Vector Injection,20.683,68.46,0
SEC_MD5_000089,Apple Inc.,API Gateway Endpoint,Zero-Day Vulnerability,19.185,62.04,0
SEC_MD5_000090,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,11.618,64.97,0
SEC_MD5_000091,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,14.37,61.76,0
SEC_MD5_000092,Amazon Web Services,API Gateway Endpoint,Token Hijacking,10.523,40.52,0
SEC_MD5_000093,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,14.234,58.29,0
SEC_MD5_000094,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,9.943,66.74,0
SEC_MD5_000095,Meta Platforms,IAM Authentication Layer,Exfiltration Attempt,21.187,74.74,1
SEC_MD5_000096,Alphabet Inc.,Edge Computing Node,Exfiltration Attempt,8.841,47.89,0
SEC_MD5_000097,Amazon Web Services,Edge Computing Node,Token Hijacking,18.996,78.22,1
SEC_MD5_000098,Meta Platforms,Edge Computing Node,Vector Injection,4.008,45.65,0
SEC_MD5_000099,Amazon Web Services,API Gateway Endpoint,Token Hijacking,12.159,53.51,0
SEC_MD5_000100,Amazon Web Services,IAM Authentication Layer,Token Hijacking,8.239,55.82,0
SEC_MD5_000101,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,8.801,44.79,0
SEC_MD5_000102,Alphabet Inc.,Distributed Core Database,Vector Injection,20.776,64.7,0
SEC_MD5_000103,Microsoft Corp.,IAM Authentication Layer,Zero-Day Vulnerability,6.763,33.1,0
SEC_MD5_000104,Apple Inc.,Distributed Core Database,Exfiltration Attempt,23.864,69.83,0
SEC_MD5_000105,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,16.332,62.14,0
SEC_MD5_000106,Microsoft Corp.,Edge Computing Node,Vector Injection,5.715,60.6,0
SEC_MD5_000107,Microsoft Corp.,Distributed Core Database,Vector Injection,7.743,37.88,0
SEC_MD5_000108,Apple Inc.,API Gateway Endpoint,Exfiltration Attempt,14.435,44.31,0
SEC_MD5_000109,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,19.642,56.4,0
SEC_MD5_000110,Meta Platforms,IAM Authentication Layer,Token Hijacking,31.646,87.19,1
SEC_MD5_000111,Apple Inc.,Distributed Core Database,Vector Injection,10.905,50.29,0
SEC_MD5_000112,Meta Platforms,Distributed Core Database,Token Hijacking,6.119,52.45,0
SEC_MD5_000113,Alphabet Inc.,Edge Computing Node,Token Hijacking,28.474,100.0,1
SEC_MD5_000114,Apple Inc.,IAM Authentication Layer,Exfiltration Attempt,16.141,63.63,0
SEC_MD5_000115,Meta Platforms,Distributed Core Database,Zero-Day Vulnerability,6.49,36.3,0
SEC_MD5_000116,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,30.003,73.69,1
SEC_MD5_000117,Meta Platforms,Distributed Core Database,Exfiltration Attempt,11.824,52.47,0
SEC_MD5_000118,Meta Platforms,Edge Computing Node,Vector Injection,46.673,100.0,1
SEC_MD5_000119,Alphabet Inc.,API Gateway Endpoint,Vector Injection,10.919,45.37,0
SEC_MD5_000120,Microsoft Corp.,Edge Computing Node,Token Hijacking,5.374,47.79,0
SEC_MD5_000121,Meta Platforms,API Gateway Endpoint,Zero-Day Vulnerability,9.731,41.98,0
SEC_MD5_000122,Meta Platforms,Edge Computing Node,Zero-Day Vulnerability,10.117,42.25,0
SEC_MD5_000123,Alphabet Inc.,Edge Computing Node,Exfiltration Attempt,4.27,41.62,0
SEC_MD5_000124,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,37.975,100.0,1
SEC_MD5_000125,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,24.944,78.95,1
SEC_MD5_000126,Microsoft Corp.,Edge Computing Node,Vector Injection,11.07,64.8,0
SEC_MD5_000127,Amazon Web Services,Edge Computing Node,Token Hijacking,12.512,42.18,0
SEC_MD5_000128,Alphabet Inc.,API Gateway Endpoint,Vector Injection,4.352,17.92,0
SEC_MD5_000129,Amazon Web Services,Edge Computing Node,Token Hijacking,16.727,83.27,1
SEC_MD5_000130,Alphabet Inc.,Distributed Core Database,Vector Injection,16.484,42.83,0
SEC_MD5_000131,Alphabet Inc.,IAM Authentication Layer,Zero-Day Vulnerability,9.329,38.31,0
SEC_MD5_000132,Microsoft Corp.,API Gateway Endpoint,Vector Injection,22.775,69.98,0
SEC_MD5_000133,Apple Inc.,IAM Authentication Layer,Token Hijacking,5.4,57.17,0
SEC_MD5_000134,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,28.707,89.25,1
SEC_MD5_000135,Amazon Web Services,Distributed Core Database,Exfiltration Attempt,39.589,100.0,1
SEC_MD5_000136,Amazon Web Services,API Gateway Endpoint,Vector Injection,15.618,45.68,0
SEC_MD5_000137,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,11.853,70.65,0
SEC_MD5_000138,Apple Inc.,API Gateway Endpoint,Token Hijacking,25.915,70.86,0
SEC_MD5_000139,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,11.046,56.97,0
SEC_MD5_000140,Amazon Web Services,Edge Computing Node,Zero-Day Vulnerability,12.226,72.41,0
SEC_MD5_000141,Microsoft Corp.,Distributed Core Database,Zero-Day Vulnerability,53.887,100.0,1
SEC_MD5_000142,Meta Platforms,IAM Authentication Layer,Zero-Day Vulnerability,15.657,59.38,0
SEC_MD5_000143,Apple Inc.,Edge Computing Node,Zero-Day Vulnerability,19.736,100.0,1
SEC_MD5_000144,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,13.162,62.83,0
SEC_MD5_000145,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,25.435,85.34,1
SEC_MD5_000146,Apple Inc.,Edge Computing Node,Exfiltration Attempt,7.12,60.58,0
SEC_MD5_000147,Amazon Web Services,Edge Computing Node,Vector Injection,28.529,91.45,1
SEC_MD5_000148,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,12.44,54.81,0
SEC_MD5_000149,Apple Inc.,API Gateway Endpoint,Token Hijacking,6.163,34.54,0
SEC_MD5_000150,Microsoft Corp.,Distributed Core Database,Vector Injection,51.583,100.0,1
SEC_MD5_000151,Meta Platforms,Edge Computing Node,Zero-Day Vulnerability,23.315,91.57,1
SEC_MD5_000152,Microsoft Corp.,Edge Computing Node,Zero-Day Vulnerability,27.816,87.39,1
SEC_MD5_000153,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,2.778,38.07,0
SEC_MD5_000154,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,22.87,56.8,0
SEC_MD5_000155,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,18.334,69.05,0
SEC_MD5_000156,Apple Inc.,API Gateway Endpoint,Vector Injection,15.607,60.1,0
SEC_MD5_000157,Apple Inc.,IAM Authentication Layer,Vector Injection,16.524,63.44,0
SEC_MD5_000158,Microsoft Corp.,Distributed Core Database,Token Hijacking,7.665,57.44,0
SEC_MD5_000159,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,7.805,47.48,0
SEC_MD5_000160,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,27.249,89.73,1
SEC_MD5_000161,Apple Inc.,IAM Authentication Layer,Vector Injection,26.835,80.85,1
SEC_MD5_000162,Amazon Web Services,API Gateway Endpoint,Token Hijacking,29.581,76.74,1
SEC_MD5_000163,Alphabet Inc.,API Gateway Endpoint,Zero-Day Vulnerability,29.735,96.31,1
SEC_MD5_000164,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,12.286,43.32,0
SEC_MD5_000165,Amazon Web Services,API Gateway Endpoint,Token Hijacking,4.356,48.51,0
SEC_MD5_000166,Amazon Web Services,Edge Computing Node,Token Hijacking,11.387,71.01,0
SEC_MD5_000167,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,42.329,84.15,1
SEC_MD5_000168,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,17.745,71.91,0
SEC_MD5_000169,Meta Platforms,Distributed Core Database,Exfiltration Attempt,6.196,48.38,0
SEC_MD5_000170,Meta Platforms,IAM Authentication Layer,Vector Injection,3.325,27.92,0
SEC_MD5_000171,Apple Inc.,API Gateway Endpoint,Token Hijacking,16.227,69.08,0
SEC_MD5_000172,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,11.826,50.68,0
SEC_MD5_000173,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,17.049,82.23,1
SEC_MD5_000174,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,32.965,93.46,1
SEC_MD5_000175,Alphabet Inc.,Distributed Core Database,Vector Injection,6.949,53.35,0
SEC_MD5_000176,Meta Platforms,Distributed Core Database,Exfiltration Attempt,30.403,80.73,1
SEC_MD5_000177,Apple Inc.,IAM Authentication Layer,Vector Injection,19.166,67.05,0
SEC_MD5_000178,Apple Inc.,Distributed Core Database,Exfiltration Attempt,28.461,91.07,1
SEC_MD5_000179,Amazon Web Services,IAM Authentication Layer,Token Hijacking,8.718,38.95,0
SEC_MD5_000180,Apple Inc.,Distributed Core Database,Token Hijacking,22.593,69.8,0
SEC_MD5_000181,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,7.355,30.52,0
SEC_MD5_000182,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,23.524,59.55,0
SEC_MD5_000183,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,24.214,82.15,1
SEC_MD5_000184,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,34.535,92.97,1
SEC_MD5_000185,Microsoft Corp.,API Gateway Endpoint,Vector Injection,7.089,33.96,0
SEC_MD5_000186,Microsoft Corp.,Distributed Core Database,Token Hijacking,15.207,65.23,0
SEC_MD5_000187,Apple Inc.,Edge Computing Node,Exfiltration Attempt,24.407,81.69,1
SEC_MD5_000188,Meta Platforms,Edge Computing Node,Exfiltration Attempt,12.846,33.91,0
SEC_MD5_000189,Apple Inc.,API Gateway Endpoint,Token Hijacking,15.252,60.4,0
SEC_MD5_000190,Amazon Web Services,API Gateway Endpoint,Vector Injection,4.12,41.17,0
SEC_MD5_000191,Amazon Web Services,API Gateway Endpoint,Zero-Day Vulnerability,11.662,42.13,0
SEC_MD5_000192,Alphabet Inc.,Distributed Core Database,Exfiltration Attempt,14.648,47.72,0
SEC_MD5_000193,Alphabet Inc.,IAM Authentication Layer,Vector Injection,17.619,65.0,0
SEC_MD5_000194,Amazon Web Services,API Gateway Endpoint,Vector Injection,21.871,56.27,0
SEC_MD5_000195,Meta Platforms,API Gateway Endpoint,Token Hijacking,26.41,75.51,1
SEC_MD5_000196,Microsoft Corp.,API Gateway Endpoint,Vector Injection,36.538,99.91,1
SEC_MD5_000197,Meta Platforms,Edge Computing Node,Vector Injection,8.233,54.09,0
SEC_MD5_000198,Microsoft Corp.,Distributed Core Database,Vector Injection,44.176,100.0,1
SEC_MD5_000199,Amazon Web Services,Distributed Core Database,Vector Injection,11.426,61.91,0
SEC_MD5_000200,Amazon Web Services,API Gateway Endpoint,Token Hijacking,47.909,100.0,1
SEC_MD5_000201,Microsoft Corp.,IAM Authentication Layer,Exfiltration Attempt,34.224,100.0,1
SEC_MD5_000202,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,9.839,30.2,0
SEC_MD5_000203,Microsoft Corp.,Edge Computing Node,Exfiltration Attempt,55.288,100.0,1
SEC_MD5_000204,Meta Platforms,IAM Authentication Layer,Exfiltration Attempt,14.759,65.85,0
SEC_MD5_000205,Amazon Web Services,Edge Computing Node,Vector Injection,9.394,58.99,0
SEC_MD5_000206,Alphabet Inc.,API Gateway Endpoint,Exfiltration Attempt,26.068,74.08,1
SEC_MD5_000207,Alphabet Inc.,API Gateway Endpoint,Exfiltration Attempt,14.609,60.76,0
SEC_MD5_000208,Alphabet Inc.,API Gateway Endpoint,Exfiltration Attempt,6.855,47.65,0
SEC_MD5_000209,Alphabet Inc.,Edge Computing Node,Zero-Day Vulnerability,28.396,94.47,1
SEC_MD5_000210,Apple Inc.,Distributed Core Database,Zero-Day Vulnerability,5.568,52.34,0
SEC_MD5_000211,Meta Platforms,API Gateway Endpoint,Vector Injection,3.965,39.05,0
SEC_MD5_000212,Amazon Web Services,Edge Computing Node,Vector Injection,12.882,65.15,0
SEC_MD5_000213,Amazon Web Services,Distributed Core Database,Vector Injection,11.68,69.1,0
SEC_MD5_000214,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,18.5,68.89,0
SEC_MD5_000215,Amazon Web Services,IAM Authentication Layer,Token Hijacking,14.437,76.84,1
SEC_MD5_000216,Meta Platforms,Edge Computing Node,Exfiltration Attempt,8.692,63.67,0
SEC_MD5_000217,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,7.945,51.74,0
SEC_MD5_000218,Amazon Web Services,Edge Computing Node,Vector Injection,11.624,61.07,0
SEC_MD5_000219,Meta Platforms,Distributed Core Database,Zero-Day Vulnerability,14.011,57.93,0
SEC_MD5_000220,Microsoft Corp.,Distributed Core Database,Zero-Day Vulnerability,9.348,38.21,0
SEC_MD5_000221,Amazon Web Services,API Gateway Endpoint,Vector Injection,21.995,76.67,1
SEC_MD5_000222,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,29.71,67.12,0
SEC_MD5_000223,Microsoft Corp.,API Gateway Endpoint,Exfiltration Attempt,16.355,77.89,1
SEC_MD5_000224,Meta Platforms,Distributed Core Database,Zero-Day Vulnerability,18.99,75.3,1
SEC_MD5_000225,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,10.284,54.57,0
SEC_MD5_000226,Microsoft Corp.,Edge Computing Node,Vector Injection,4.308,50.06,0
SEC_MD5_000227,Alphabet Inc.,IAM Authentication Layer,Token Hijacking,10.937,52.85,0
SEC_MD5_000228,Alphabet Inc.,Distributed Core Database,Vector Injection,22.204,73.28,1
SEC_MD5_000229,Amazon Web Services,Distributed Core Database,Zero-Day Vulnerability,7.154,44.92,0
SEC_MD5_000230,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,9.213,53.57,0
SEC_MD5_000231,Alphabet Inc.,IAM Authentication Layer,Vector Injection,17.221,66.97,0
SEC_MD5_000232,Alphabet Inc.,Distributed Core Database,Token Hijacking,13.332,56.04,0
SEC_MD5_000233,Amazon Web Services,API Gateway Endpoint,Exfiltration Attempt,28.476,83.51,1
SEC_MD5_000234,Microsoft Corp.,Edge Computing Node,Token Hijacking,9.524,52.07,0
SEC_MD5_000235,Apple Inc.,IAM Authentication Layer,Zero-Day Vulnerability,12.089,49.91,0
SEC_MD5_000236,Apple Inc.,Edge Computing Node,Vector Injection,4.44,49.37,0
SEC_MD5_000237,Microsoft Corp.,IAM Authentication Layer,Token Hijacking,16.114,55.29,0
SEC_MD5_000238,Amazon Web Services,Edge Computing Node,Exfiltration Attempt,6.729,67.79,0
SEC_MD5_000239,Apple Inc.,Distributed Core Database,Vector Injection,26.618,87.08,1
SEC_MD5_000240,Amazon Web Services,IAM Authentication Layer,Vector Injection,16.876,63.21,0
SEC_MD5_000241,Amazon Web Services,IAM Authentication Layer,Vector Injection,7.822,29.52,0
SEC_MD5_000242,Meta Platforms,Edge Computing Node,Exfiltration Attempt,10.691,61.81,0
SEC_MD5_000243,Microsoft Corp.,Distributed Core Database,Vector Injection,4.767,27.58,0
SEC_MD5_000244,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,8.654,47.16,0
SEC_MD5_000245,Alphabet Inc.,Edge Computing Node,Vector Injection,31.821,100.0,1
SEC_MD5_000246,Microsoft Corp.,Distributed Core Database,Exfiltration Attempt,17.556,63.18,0
SEC_MD5_000247,Meta Platforms,IAM Authentication Layer,Vector Injection,7.17,43.16,0
SEC_MD5_000248,Apple Inc.,Edge Computing Node,Exfiltration Attempt,7.82,53.89,0
SEC_MD5_000249,Amazon Web Services,IAM Authentication Layer,Vector Injection,23.19,92.08,1
SEC_MD5_000250,Microsoft Corp.,Distributed Core Database,Exfiltration Attempt,3.378,51.02,0
SEC_MD5_000251,Amazon Web Services,Distributed Core Database,Vector Injection,16.425,61.44,0
SEC_MD5_000252,Alphabet Inc.,Edge Computing Node,Exfiltration Attempt,26.592,87.87,1
SEC_MD5_000253,Amazon Web Services,Edge Computing Node,Zero-Day Vulnerability,23.765,85.26,1
SEC_MD5_000254,Microsoft Corp.,API Gateway Endpoint,Token Hijacking,9.951,26.51,0
SEC_MD5_000255,Alphabet Inc.,Distributed Core Database,Token Hijacking,45.196,100.0,1
SEC_MD5_000256,Apple Inc.,Distributed Core Database,Vector Injection,29.343,74.26,1
SEC_MD5_000257,Alphabet Inc.,IAM Authentication Layer,Exfiltration Attempt,40.251,100.0,1
SEC_MD5_000258,Amazon Web Services,API Gateway Endpoint,Token Hijacking,33.757,100.0,1
SEC_MD5_000259,Amazon Web Services,Edge Computing Node,Token Hijacking,12.794,52.91,0
SEC_MD5_000260,Apple Inc.,IAM Authentication Layer,Exfiltration Attempt,4.554,33.64,0
SEC_MD5_000261,Meta Platforms,Edge Computing Node,Zero-Day Vulnerability,12.309,66.89,0
SEC_MD5_000262,Meta Platforms,IAM Authentication Layer,Token Hijacking,5.158,40.79,0
SEC_MD5_000263,Alphabet Inc.,API Gateway Endpoint,Zero-Day Vulnerability,7.402,56.18,0
SEC_MD5_000264,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,20.827,64.13,0
SEC_MD5_000265,Meta Platforms,API Gateway Endpoint,Zero-Day Vulnerability,7.788,45.05,0
SEC_MD5_000266,Amazon Web Services,IAM Authentication Layer,Exfiltration Attempt,20.219,84.7,1
SEC_MD5_000267,Microsoft Corp.,Distributed Core Database,Zero-Day Vulnerability,12.392,58.64,0
SEC_MD5_000268,Microsoft Corp.,Distributed Core Database,Zero-Day Vulnerability,14.206,48.22,0
SEC_MD5_000269,Alphabet Inc.,Distributed Core Database,Zero-Day Vulnerability,11.519,52.84,0
SEC_MD5_000270,Alphabet Inc.,API Gateway Endpoint,Token Hijacking,29.28,92.61,1
SEC_MD5_000271,Meta Platforms,Distributed Core Database,Vector Injection,23.94,66.27,0
SEC_MD5_000272,Apple Inc.,Distributed Core Database,Vector Injection,16.098,46.11,0
SEC_MD5_000273,Meta Platforms,API Gateway Endpoint,Zero-Day Vulnerability,9.357,45.05,0
SEC_MD5_000274,Amazon Web Services,Distributed Core Database,Vector Injection,36.704,92.65,1
SEC_MD5_000275,Meta Platforms,Distributed Core Database,Vector Injection,10.468,43.32,0
SEC_MD5_000276,Microsoft Corp.,Distributed Core Database,Vector Injection,8.838,24.38,0
