Incident_ID,Attack_Vector,Infrastructure_Zone,Payload_Volume_MB,Neural_Anomaly_Score,Breach_Status
SEC_000036,Ransomware Core Payload,DMZ Proxy Subnet,175.48,52.46,0
SEC_000037,Ransomware Core Payload,DMZ Proxy Subnet,58.25,44.28,0
SEC_000038,DDoS Flooding,DMZ Proxy Subnet,530.74,51.46,0
SEC_000039,DDoS Flooding,On-Prem Gateway,273.04,26.3,0
SEC_000040,Ransomware Core Payload,On-Prem Gateway,70.57,42.51,0
SEC_000041,Ransomware Core Payload,Cloud Edge Cluster,319.6,43.07,0
SEC_000042,SQL Injection Spectrum,Cloud Edge Cluster,27.75,0.0,0
SEC_000043,Phishing API Exfiltration,Cloud Edge Cluster,1092.19,85.43,1
SEC_000044,DDoS Flooding,On-Prem Gateway,146.76,35.51,0
SEC_000045,DDoS Flooding,DMZ Proxy Subnet,500.82,68.07,1
SEC_000046,Phishing API Exfiltration,Cloud Edge Cluster,180.1,20.77,0
SEC_000047,SQL Injection Spectrum,On-Prem Gateway,342.35,0.0,0
SEC_000048,Ransomware Core Payload,Cloud Edge Cluster,368.05,48.91,0
SEC_000049,Ransomware Core Payload,On-Prem Gateway,103.97,38.53,0
SEC_000050,SQL Injection Spectrum,DMZ Proxy Subnet,1583.76,67.99,1
SEC_000051,SQL Injection Spectrum,On-Prem Gateway,683.51,42.66,0
SEC_000052,Phishing API Exfiltration,DMZ Proxy Subnet,1274.29,100.0,1
SEC_000053,Phishing API Exfiltration,Cloud Edge Cluster,1025.47,66.43,1
SEC_000054,Ransomware Core Payload,DMZ Proxy Subnet,421.97,57.84,0
SEC_000055,SQL Injection Spectrum,On-Prem Gateway,1159.25,66.61,1
SEC_000056,SQL Injection Spectrum,Cloud Edge Cluster,53.69,0.79,0
SEC_000057,Ransomware Core Payload,Cloud Edge Cluster,110.16,31.85,0
SEC_000058,Ransomware Core Payload,On-Prem Gateway,32.83,27.33,0
SEC_000059,Ransomware Core Payload,DMZ Proxy Subnet,189.09,31.57,0
SEC_000060,Ransomware Core Payload,On-Prem Gateway,233.46,37.62,0
SEC_000061,Ransomware Core Payload,DMZ Proxy Subnet,154.45,40.14,0
SEC_000062,Phishing API Exfiltration,DMZ Proxy Subnet,806.05,59.99,0
SEC_000063,Ransomware Core Payload,Cloud Edge Cluster,210.55,19.46,0
SEC_000064,SQL Injection Spectrum,DMZ Proxy Subnet,160.41,43.71,0
SEC_000065,DDoS Flooding,Cloud Edge Cluster,364.08,15.32,0
SEC_000066,Phishing API Exfiltration,On-Prem Gateway,80.35,2.46,0
SEC_000067,SQL Injection Spectrum,On-Prem Gateway,741.22,70.74,1
SEC_000068,DDoS Flooding,Cloud Edge Cluster,46.86,39.48,0
SEC_000069,Phishing API Exfiltration,Cloud Edge Cluster,1962.37,100.0,1
SEC_000070,Ransomware Core Payload,DMZ Proxy Subnet,677.77,36.18,0
SEC_000071,Phishing API Exfiltration,Cloud Edge Cluster,111.69,23.85,0
SEC_000072,Ransomware Core Payload,On-Prem Gateway,14.49,26.64,0
SEC_000073,Ransomware Core Payload,Cloud Edge Cluster,772.45,36.96,0
SEC_000074,Ransomware Core Payload,Cloud Edge Cluster,564.19,41.48,0
SEC_000075,DDoS Flooding,Cloud Edge Cluster,599.55,63.77,0
SEC_000076,Phishing API Exfiltration,DMZ Proxy Subnet,675.85,78.44,1
SEC_000077,Ransomware Core Payload,Cloud Edge Cluster,46.62,25.57,0
SEC_000078,SQL Injection Spectrum,DMZ Proxy Subnet,211.75,49.82,0
SEC_000079,Phishing API Exfiltration,DMZ Proxy Subnet,67.42,3.99,0
SEC_000080,SQL Injection Spectrum,Cloud Edge Cluster,906.84,76.17,1
SEC_000081,DDoS Flooding,DMZ Proxy Subnet,451.34,35.99,0
SEC_000082,DDoS Flooding,Cloud Edge Cluster,192.82,42.32,0
SEC_000083,Phishing API Exfiltration,On-Prem Gateway,41.55,27.95,0
SEC_000084,DDoS Flooding,On-Prem Gateway,179.62,56.99,0
SEC_000085,DDoS Flooding,DMZ Proxy Subnet,188.99,24.44,0
SEC_000086,Phishing API Exfiltration,On-Prem Gateway,600.54,63.44,0
SEC_000087,SQL Injection Spectrum,Cloud Edge Cluster,468.7,44.56,0
SEC_000088,Ransomware Core Payload,DMZ Proxy Subnet,994.01,67.39,1
SEC_000089,Phishing API Exfiltration,Cloud Edge Cluster,299.58,39.23,0
SEC_000090,Phishing API Exfiltration,DMZ Proxy Subnet,69.32,20.09,0
SEC_000091,Ransomware Core Payload,DMZ Proxy Subnet,574.11,52.75,0
SEC_000092,SQL Injection Spectrum,DMZ Proxy Subnet,655.68,55.29,0
SEC_000093,Ransomware Core Payload,DMZ Proxy Subnet,382.75,48.93,0
SEC_000094,Ransomware Core Payload,On-Prem Gateway,675.25,58.28,0
SEC_000095,SQL Injection Spectrum,On-Prem Gateway,318.37,54.7,0
SEC_000096,SQL Injection Spectrum,On-Prem Gateway,344.86,57.65,0
SEC_000097,Ransomware Core Payload,DMZ Proxy Subnet,263.02,24.76,0
SEC_000098,Ransomware Core Payload,On-Prem Gateway,23.59,43.98,0
SEC_000099,Phishing API Exfiltration,DMZ Proxy Subnet,63.38,14.74,0
SEC_000100,SQL Injection Spectrum,On-Prem Gateway,26.37,39.87,0
SEC_000101,DDoS Flooding,DMZ Proxy Subnet,467.28,57.99,0
SEC_000102,SQL Injection Spectrum,On-Prem Gateway,181.83,8.6,0
SEC_000103,Ransomware Core Payload,On-Prem Gateway,331.7,44.66,0
SEC_000104,Ransomware Core Payload,On-Prem Gateway,1083.57,66.32,1
SEC_000105,Ransomware Core Payload,DMZ Proxy Subnet,141.03,24.26,0
SEC_000106,Ransomware Core Payload,DMZ Proxy Subnet,249.73,60.25,0
SEC_000107,DDoS Flooding,On-Prem Gateway,645.94,46.03,0
SEC_000108,SQL Injection Spectrum,DMZ Proxy Subnet,128.91,23.06,0
SEC_000109,DDoS Flooding,Cloud Edge Cluster,48.05,33.06,0
SEC_000110,DDoS Flooding,On-Prem Gateway,165.96,46.92,0
SEC_000111,Ransomware Core Payload,On-Prem Gateway,91.11,31.52,0
SEC_000112,DDoS Flooding,Cloud Edge Cluster,1206.73,95.76,1
SEC_000113,Ransomware Core Payload,DMZ Proxy Subnet,754.9,68.16,1
SEC_000114,Ransomware Core Payload,DMZ Proxy Subnet,463.57,15.87,0
SEC_000115,Ransomware Core Payload,DMZ Proxy Subnet,935.18,59.47,0
SEC_000116,DDoS Flooding,On-Prem Gateway,744.59,51.36,0
SEC_000117,Ransomware Core Payload,On-Prem Gateway,104.92,41.39,0
SEC_000118,DDoS Flooding,On-Prem Gateway,1015.87,31.26,0
SEC_000119,SQL Injection Spectrum,On-Prem Gateway,360.79,82.67,1
SEC_000120,Ransomware Core Payload,On-Prem Gateway,753.31,68.1,1
SEC_000121,Phishing API Exfiltration,DMZ Proxy Subnet,1030.91,73.47,1
SEC_000122,Phishing API Exfiltration,Cloud Edge Cluster,184.23,55.09,0
SEC_000123,Phishing API Exfiltration,DMZ Proxy Subnet,64.47,67.73,1
SEC_000124,Phishing API Exfiltration,DMZ Proxy Subnet,128.41,48.2,0
SEC_000125,Phishing API Exfiltration,On-Prem Gateway,262.68,54.74,0
SEC_000126,DDoS Flooding,Cloud Edge Cluster,778.72,63.11,0
SEC_000127,SQL Injection Spectrum,Cloud Edge Cluster,899.11,63.84,0
SEC_000128,DDoS Flooding,DMZ Proxy Subnet,15.14,23.47,0
SEC_000129,Ransomware Core Payload,Cloud Edge Cluster,333.69,30.96,0
SEC_000130,SQL Injection Spectrum,DMZ Proxy Subnet,255.12,29.9,0
SEC_000131,SQL Injection Spectrum,DMZ Proxy Subnet,125.03,14.74,0
SEC_000132,SQL Injection Spectrum,DMZ Proxy Subnet,69.46,31.64,0
SEC_000133,SQL Injection Spectrum,DMZ Proxy Subnet,197.36,12.62,0
SEC_000134,Phishing API Exfiltration,On-Prem Gateway,1300.4,84.88,1
SEC_000135,Ransomware Core Payload,Cloud Edge Cluster,187.67,36.96,0
SEC_000136,SQL Injection Spectrum,On-Prem Gateway,341.15,45.85,0
SEC_000137,SQL Injection Spectrum,On-Prem Gateway,558.34,44.5,0
SEC_000138,Phishing API Exfiltration,On-Prem Gateway,215.39,84.77,1
SEC_000139,DDoS Flooding,DMZ Proxy Subnet,1617.51,100.0,1
SEC_000140,DDoS Flooding,DMZ Proxy Subnet,1488.9,70.89,1
SEC_000141,DDoS Flooding,On-Prem Gateway,142.53,39.19,0
SEC_000142,Ransomware Core Payload,On-Prem Gateway,321.45,33.74,0
SEC_000143,DDoS Flooding,Cloud Edge Cluster,173.07,21.71,0
SEC_000144,SQL Injection Spectrum,On-Prem Gateway,162.86,16.41,0
SEC_000145,Phishing API Exfiltration,DMZ Proxy Subnet,28.91,37.64,0
SEC_000146,Phishing API Exfiltration,On-Prem Gateway,435.22,37.19,0
SEC_000147,DDoS Flooding,Cloud Edge Cluster,326.33,57.57,0
SEC_000148,Phishing API Exfiltration,Cloud Edge Cluster,35.78,46.34,0
SEC_000149,SQL Injection Spectrum,On-Prem Gateway,158.98,56.97,0
SEC_000150,DDoS Flooding,Cloud Edge Cluster,1086.99,60.69,0
SEC_000151,SQL Injection Spectrum,Cloud Edge Cluster,135.24,42.54,0
SEC_000152,Ransomware Core Payload,DMZ Proxy Subnet,82.44,42.78,0
SEC_000153,SQL Injection Spectrum,Cloud Edge Cluster,314.52,35.47,0
SEC_000154,SQL Injection Spectrum,Cloud Edge Cluster,1921.82,95.3,1
SEC_000155,SQL Injection Spectrum,On-Prem Gateway,136.72,59.61,0
SEC_000156,SQL Injection Spectrum,DMZ Proxy Subnet,513.82,53.97,0
SEC_000157,Ransomware Core Payload,Cloud Edge Cluster,657.25,65.83,1
SEC_000158,DDoS Flooding,On-Prem Gateway,134.1,23.03,0
SEC_000159,SQL Injection Spectrum,On-Prem Gateway,598.24,35.64,0
SEC_000160,DDoS Flooding,On-Prem Gateway,218.34,30.19,0
SEC_000161,Phishing API Exfiltration,On-Prem Gateway,462.23,46.63,0
SEC_000162,SQL Injection Spectrum,On-Prem Gateway,463.73,32.59,0
SEC_000163,SQL Injection Spectrum,On-Prem Gateway,357.32,44.15,0
SEC_000164,Phishing API Exfiltration,Cloud Edge Cluster,54.58,6.86,0
SEC_000165,DDoS Flooding,DMZ Proxy Subnet,823.64,46.14,0
SEC_000166,Ransomware Core Payload,DMZ Proxy Subnet,186.06,47.51,0
SEC_000167,SQL Injection Spectrum,On-Prem Gateway,104.89,43.25,0
SEC_000168,Phishing API Exfiltration,On-Prem Gateway,30.73,25.35,0
SEC_000169,Phishing API Exfiltration,DMZ Proxy Subnet,414.2,31.3,0
SEC_000170,SQL Injection Spectrum,Cloud Edge Cluster,521.33,35.44,0
SEC_000171,DDoS Flooding,On-Prem Gateway,19.53,25.18,0
SEC_000172,DDoS Flooding,DMZ Proxy Subnet,334.93,53.07,0
SEC_000173,SQL Injection Spectrum,DMZ Proxy Subnet,127.57,49.03,0
SEC_000174,Phishing API Exfiltration,On-Prem Gateway,478.26,41.68,0
SEC_000175,SQL Injection Spectrum,DMZ Proxy Subnet,98.22,16.63,0
SEC_000176,Ransomware Core Payload,Cloud Edge Cluster,540.4,55.63,0
SEC_000177,Ransomware Core Payload,DMZ Proxy Subnet,232.03,26.93,0
SEC_000178,DDoS Flooding,On-Prem Gateway,1254.15,72.39,1
SEC_000179,Ransomware Core Payload,On-Prem Gateway,78.57,53.02,0
SEC_000180,Phishing API Exfiltration,DMZ Proxy Subnet,199.71,50.4,0
SEC_000181,Ransomware Core Payload,DMZ Proxy Subnet,66.2,35.02,0
SEC_000182,SQL Injection Spectrum,On-Prem Gateway,1175.79,57.95,0
SEC_000183,Phishing API Exfiltration,Cloud Edge Cluster,956.25,71.42,1
SEC_000184,DDoS Flooding,DMZ Proxy Subnet,146.25,51.79,0
SEC_000185,DDoS Flooding,Cloud Edge Cluster,497.44,44.26,0
SEC_000186,Ransomware Core Payload,Cloud Edge Cluster,776.77,81.34,1
SEC_000187,DDoS Flooding,On-Prem Gateway,376.56,64.45,0
SEC_000188,SQL Injection Spectrum,On-Prem Gateway,351.43,69.01,1
SEC_000189,Phishing API Exfiltration,On-Prem Gateway,136.59,40.04,0
SEC_000190,SQL Injection Spectrum,Cloud Edge Cluster,55.98,41.05,0
SEC_000191,SQL Injection Spectrum,On-Prem Gateway,1035.81,92.65,1
SEC_000192,SQL Injection Spectrum,On-Prem Gateway,1050.05,78.71,1
SEC_000193,SQL Injection Spectrum,Cloud Edge Cluster,463.2,41.01,0
SEC_000194,Phishing API Exfiltration,Cloud Edge Cluster,198.32,31.2,0
SEC_000195,Phishing API Exfiltration,Cloud Edge Cluster,205.31,41.79,0
SEC_000196,SQL Injection Spectrum,Cloud Edge Cluster,594.51,34.42,0
SEC_000197,SQL Injection Spectrum,DMZ Proxy Subnet,1035.34,69.26,1
SEC_000198,DDoS Flooding,On-Prem Gateway,993.51,86.19,1
SEC_000199,DDoS Flooding,DMZ Proxy Subnet,693.1,24.86,0
SEC_000200,Phishing API Exfiltration,Cloud Edge Cluster,474.29,71.99,1
SEC_000201,DDoS Flooding,Cloud Edge Cluster,51.55,48.9,0
SEC_000202,Phishing API Exfiltration,Cloud Edge Cluster,91.33,26.76,0
SEC_000203,Phishing API Exfiltration,Cloud Edge Cluster,1041.7,79.82,1
SEC_000204,Ransomware Core Payload,Cloud Edge Cluster,431.62,47.31,0
SEC_000205,Phishing API Exfiltration,On-Prem Gateway,16.16,49.1,0
SEC_000206,DDoS Flooding,DMZ Proxy Subnet,60.15,47.15,0
SEC_000207,Ransomware Core Payload,DMZ Proxy Subnet,502.12,29.08,0
SEC_000208,DDoS Flooding,On-Prem Gateway,14.28,39.38,0
SEC_000209,Phishing API Exfiltration,On-Prem Gateway,90.89,30.55,0
SEC_000210,Phishing API Exfiltration,On-Prem Gateway,370.06,46.05,0
SEC_000211,SQL Injection Spectrum,DMZ Proxy Subnet,541.79,40.75,0
SEC_000212,Phishing API Exfiltration,DMZ Proxy Subnet,486.95,75.7,1
SEC_000213,Ransomware Core Payload,Cloud Edge Cluster,126.28,50.65,0
SEC_000214,Phishing API Exfiltration,DMZ Proxy Subnet,572.44,41.8,0
SEC_000215,SQL Injection Spectrum,DMZ Proxy Subnet,133.87,15.34,0
SEC_000216,Phishing API Exfiltration,On-Prem Gateway,189.14,31.78,0
SEC_000217,Phishing API Exfiltration,DMZ Proxy Subnet,629.56,61.7,0
SEC_000218,Phishing API Exfiltration,Cloud Edge Cluster,483.95,52.96,0
SEC_000219,SQL Injection Spectrum,DMZ Proxy Subnet,863.38,83.33,1
SEC_000220,DDoS Flooding,On-Prem Gateway,494.32,61.62,0
SEC_000221,Phishing API Exfiltration,On-Prem Gateway,390.02,60.14,0
SEC_000222,Ransomware Core Payload,Cloud Edge Cluster,56.26,37.15,0
SEC_000223,SQL Injection Spectrum,Cloud Edge Cluster,218.29,17.89,0
SEC_000224,Ransomware Core Payload,DMZ Proxy Subnet,150.67,33.09,0
SEC_000225,Phishing API Exfiltration,Cloud Edge Cluster,137.87,51.42,0
SEC_000226,SQL Injection Spectrum,Cloud Edge Cluster,1637.54,94.73,1
SEC_000227,Phishing API Exfiltration,On-Prem Gateway,236.72,47.02,0
SEC_000228,Ransomware Core Payload,On-Prem Gateway,1013.72,65.77,1
SEC_000229,SQL Injection Spectrum,DMZ Proxy Subnet,460.8,32.98,0
SEC_000230,DDoS Flooding,DMZ Proxy Subnet,724.72,57.14,0
SEC_000231,DDoS Flooding,DMZ Proxy Subnet,326.3,47.69,0
SEC_000232,DDoS Flooding,DMZ Proxy Subnet,399.07,36.13,0
SEC_000233,Phishing API Exfiltration,On-Prem Gateway,317.23,39.15,0
SEC_000234,SQL Injection Spectrum,DMZ Proxy Subnet,109.75,20.3,0
SEC_000235,Ransomware Core Payload,DMZ Proxy Subnet,588.79,70.34,1
SEC_000236,Ransomware Core Payload,Cloud Edge Cluster,160.31,32.0,0
SEC_000237,Phishing API Exfiltration,DMZ Proxy Subnet,23.08,52.71,0
SEC_000238,Phishing API Exfiltration,Cloud Edge Cluster,478.64,72.08,1
SEC_000239,Ransomware Core Payload,On-Prem Gateway,99.72,32.77,0
SEC_000240,SQL Injection Spectrum,DMZ Proxy Subnet,1281.49,66.13,1
SEC_000241,Phishing API Exfiltration,Cloud Edge Cluster,1396.9,54.59,0
SEC_000242,SQL Injection Spectrum,DMZ Proxy Subnet,1120.58,52.74,0
SEC_000243,Ransomware Core Payload,Cloud Edge Cluster,220.03,18.19,0
SEC_000244,SQL Injection Spectrum,DMZ Proxy Subnet,19.01,51.44,0
SEC_000245,DDoS Flooding,On-Prem Gateway,1197.99,79.66,1
SEC_000246,Ransomware Core Payload,On-Prem Gateway,263.52,46.38,0
SEC_000247,DDoS Flooding,Cloud Edge Cluster,1542.38,58.39,0
SEC_000248,Ransomware Core Payload,Cloud Edge Cluster,1503.18,72.16,1
SEC_000249,DDoS Flooding,On-Prem Gateway,874.82,78.3,1
SEC_000250,SQL Injection Spectrum,DMZ Proxy Subnet,168.95,41.06,0
SEC_000251,Ransomware Core Payload,Cloud Edge Cluster,230.83,37.03,0
SEC_000252,Ransomware Core Payload,On-Prem Gateway,869.13,73.24,1
SEC_000253,DDoS Flooding,Cloud Edge Cluster,183.52,61.88,0
SEC_000254,SQL Injection Spectrum,On-Prem Gateway,95.57,30.51,0
SEC_000255,Ransomware Core Payload,On-Prem Gateway,378.18,46.17,0
SEC_000256,Phishing API Exfiltration,Cloud Edge Cluster,1250.08,82.89,1
SEC_000257,DDoS Flooding,Cloud Edge Cluster,547.87,87.8,1
SEC_000258,Ransomware Core Payload,On-Prem Gateway,391.85,14.18,0
SEC_000259,SQL Injection Spectrum,DMZ Proxy Subnet,58.0,42.57,0
SEC_000260,SQL Injection Spectrum,On-Prem Gateway,441.54,45.94,0
SEC_000261,SQL Injection Spectrum,DMZ Proxy Subnet,2086.76,100.0,1
SEC_000262,SQL Injection Spectrum,DMZ Proxy Subnet,79.91,23.34,0
SEC_000263,DDoS Flooding,DMZ Proxy Subnet,340.72,42.89,0
SEC_000264,Ransomware Core Payload,Cloud Edge Cluster,956.37,78.93,1
SEC_000265,DDoS Flooding,On-Prem Gateway,619.52,100.0,1
SEC_000266,DDoS Flooding,On-Prem Gateway,549.33,64.09,0
SEC_000267,SQL Injection Spectrum,DMZ Proxy Subnet,557.53,39.58,0
SEC_000268,Phishing API Exfiltration,DMZ Proxy Subnet,212.47,32.14,0
SEC_000269,SQL Injection Spectrum,DMZ Proxy Subnet,168.4,29.93,0
SEC_000270,Phishing API Exfiltration,On-Prem Gateway,757.82,33.38,0
SEC_000271,DDoS Flooding,DMZ Proxy Subnet,759.6,55.43,0
SEC_000272,SQL Injection Spectrum,On-Prem Gateway,920.08,77.8,1
SEC_000273,SQL Injection Spectrum,On-Prem Gateway,1112.08,55.37,0
SEC_000274,DDoS Flooding,Cloud Edge Cluster,334.24,59.1,0
SEC_000275,SQL Injection Spectrum,DMZ Proxy Subnet,325.28,50.33,0
SEC_000276,Ransomware Core Payload,DMZ Proxy Subnet,732.43,48.28,0
SEC_000277,Phishing API Exfiltration,DMZ Proxy Subnet,484.37,47.25,0
SEC_000278,Phishing API Exfiltration,Cloud Edge Cluster,556.75,76.24,1
SEC_000279,Phishing API Exfiltration,DMZ Proxy Subnet,726.88,70.08,1
SEC_000280,SQL Injection Spectrum,On-Prem Gateway,1005.3,70.34,1
SEC_000281,Ransomware Core Payload,DMZ Proxy Subnet,197.62,34.34,0
SEC_000282,SQL Injection Spectrum,On-Prem Gateway,223.92,40.11,0
SEC_000283,Phishing API Exfiltration,On-Prem Gateway,56.41,24.58,0
SEC_000284,SQL Injection Spectrum,On-Prem Gateway,400.54,14.45,0
SEC_000285,Phishing API Exfiltration,On-Prem Gateway,28.47,61.77,0
SEC_000286,DDoS Flooding,DMZ Proxy Subnet,293.97,44.09,0
SEC_000287,Phishing API Exfiltration,Cloud Edge Cluster,364.03,50.53,0
SEC_000288,DDoS Flooding,Cloud Edge Cluster,163.93,35.69,0
SEC_000289,DDoS Flooding,On-Prem Gateway,414.13,35.54,0
SEC_000290,DDoS Flooding,DMZ Proxy Subnet,25.94,28.25,0
SEC_000291,Phishing API Exfiltration,Cloud Edge Cluster,29.13,7.17,0
SEC_000292,Ransomware Core Payload,DMZ Proxy Subnet,790.21,95.76,1
SEC_000293,Phishing API Exfiltration,Cloud Edge Cluster,212.96,20.0,0
SEC_000294,SQL Injection Spectrum,On-Prem Gateway,73.15,17.45,0
SEC_000295,SQL Injection Spectrum,On-Prem Gateway,344.39,37.17,0
SEC_000296,Ransomware Core Payload,On-Prem Gateway,673.34,76.25,1
SEC_000297,Ransomware Core Payload,Cloud Edge Cluster,121.4,35.07,0
SEC_000298,Ransomware Core Payload,DMZ Proxy Subnet,450.85,29.49,0
SEC_000299,DDoS Flooding,On-Prem Gateway,52.14,50.9,0
SEC_000300,Ransomware Core Payload,DMZ Proxy Subnet,35.88,42.4,0
SEC_000301,Ransomware Core Payload,DMZ Proxy Subnet,353.06,52.2,0
SEC_000302,Ransomware Core Payload,On-Prem Gateway,362.06,55.22,0
SEC_000303,Phishing API Exfiltration,Cloud Edge Cluster,468.54,84.66,1
SEC_000304,SQL Injection Spectrum,On-Prem Gateway,594.73,86.57,1
SEC_000305,SQL Injection Spectrum,On-Prem Gateway,1687.6,87.2,1
SEC_000306,Ransomware Core Payload,Cloud Edge Cluster,338.83,67.91,1
SEC_000307,SQL Injection Spectrum,DMZ Proxy Subnet,187.51,43.25,0
SEC_000308,Phishing API Exfiltration,Cloud Edge Cluster,725.54,66.51,1
SEC_000309,SQL Injection Spectrum,Cloud Edge Cluster,154.13,10.78,0
SEC_000310,DDoS Flooding,On-Prem Gateway,272.09,38.33,0
SEC_000311,Phishing API Exfiltration,Cloud Edge Cluster,48.77,19.76,0
SEC_000312,SQL Injection Spectrum,Cloud Edge Cluster,23.55,43.36,0
SEC_000313,SQL Injection Spectrum,Cloud Edge Cluster,1491.32,100.0,1
SEC_000314,Phishing API Exfiltration,DMZ Proxy Subnet,825.5,31.9,0
SEC_000315,SQL Injection Spectrum,DMZ Proxy Subnet,547.79,51.58,0
SEC_000316,SQL Injection Spectrum,On-Prem Gateway,248.64,56.77,0
SEC_000317,Ransomware Core Payload,On-Prem Gateway,97.64,31.11,0
SEC_000318,DDoS Flooding,DMZ Proxy Subnet,88.55,44.48,0
SEC_000319,Phishing API Exfiltration,Cloud Edge Cluster,141.6,40.93,0
SEC_000320,Ransomware Core Payload,On-Prem Gateway,370.56,49.95,0
SEC_000321,SQL Injection Spectrum,On-Prem Gateway,576.23,48.98,0
SEC_000322,Phishing API Exfiltration,Cloud Edge Cluster,497.73,31.66,0
SEC_000323,Phishing API Exfiltration,Cloud Edge Cluster,159.79,19.57,0
SEC_000324,DDoS Flooding,Cloud Edge Cluster,1406.15,96.89,1
SEC_000325,DDoS Flooding,Cloud Edge Cluster,614.56,54.87,0
SEC_000326,Phishing API Exfiltration,Cloud Edge Cluster,375.7,42.95,0
SEC_000327,DDoS Flooding,DMZ Proxy Subnet,437.71,41.15,0
SEC_000328,DDoS Flooding,Cloud Edge Cluster,256.82,35.69,0
SEC_000329,SQL Injection Spectrum,On-Prem Gateway,140.1,51.31,0
SEC_000330,DDoS Flooding,DMZ Proxy Subnet,210.01,33.37,0
SEC_000331,DDoS Flooding,On-Prem Gateway,650.18,35.89,0
SEC_000332,Ransomware Core Payload,Cloud Edge Cluster,18.52,41.9,0
SEC_000333,SQL Injection Spectrum,On-Prem Gateway,67.52,29.63,0
SEC_000334,SQL Injection Spectrum,Cloud Edge Cluster,33.19,31.8,0
SEC_000335,Phishing API Exfiltration,On-Prem Gateway,30.71,55.34,0
SEC_000336,DDoS Flooding,On-Prem Gateway,882.39,64.99,0
SEC_000337,Ransomware Core Payload,Cloud Edge Cluster,559.31,56.71,0
SEC_000338,Ransomware Core Payload,On-Prem Gateway,301.25,24.37,0
SEC_000339,SQL Injection Spectrum,DMZ Proxy Subnet,58.33,29.04,0
SEC_000340,DDoS Flooding,On-Prem Gateway,316.43,51.8,0
SEC_000341,Ransomware Core Payload,DMZ Proxy Subnet,300.65,18.7,0
SEC_000342,Phishing API Exfiltration,DMZ Proxy Subnet,97.59,36.92,0
SEC_000343,DDoS Flooding,On-Prem Gateway,268.0,42.23,0
SEC_000344,DDoS Flooding,DMZ Proxy Subnet,240.75,40.25,0
SEC_000345,DDoS Flooding,DMZ Proxy Subnet,442.53,63.26,0
SEC_000346,Ransomware Core Payload,On-Prem Gateway,465.65,53.64,0
SEC_000347,SQL Injection Spectrum,Cloud Edge Cluster,32.86,53.49,0
